notes,has_complication,ssn,hospital
normal risk,false,227-20-9376,AK
normal risk,true,227-29-6722,AR
normal risk,true,227-37-9858,AL
high risk,true,227-38-3504,AL
normal risk,true,227-49-9787,AL
normal risk,false,227-50-2330,AR
normal risk,false,227-61-9408,AL
normal risk,false,227-68-1215,AK
normal risk,false,227-99-2549,AK
normal risk,true,228-04-6997,AK
normal risk,false,228-12-8840,AK
high risk,true,228-30-2317,AL
normal risk,false,228-40-1688,AR
high risk,false,228-41-3007,AR
normal risk,false,228-44-3834,AK
normal risk,false,228-46-9362,AR
normal risk,true,228-50-5842,AL
normal risk,true,228-56-5900,AL
normal risk,false,228-60-8590,AR
normal risk,false,228-61-5167,AK
normal risk,false,228-69-4607,AL
normal risk,false,228-82-1785,AL
normal risk,true,228-90-6597,AK
normal risk,false,229-01-4627,AR
normal risk,true,229-08-3901,AR
normal risk,false,229-22-5123,AR
normal risk,false,229-33-0628,AK
normal risk,false,229-40-1961,AK
normal risk,false,229-49-5294,AL
high risk,true,229-75-2500,AL
normal risk,true,229-99-6191,AL
normal risk,false,230-12-1395,AL
normal risk,false,230-13-4890,AL
high risk,false,230-36-8477,AL
high risk,true,230-48-4757,AR
normal risk,false,230-52-3002,AK
normal risk,false,230-54-4952,AL
normal risk,false,230-54-8846,AR
normal risk,false,230-66-7416,AK
normal risk,false,230-66-9237,AK
normal risk,false,230-74-8416,AL
normal risk,true,230-89-4738,AR
normal risk,false,231-09-4084,AL
normal risk,true,231-24-4348,AK
normal risk,false,231-51-5211,AR
normal risk,true,231-85-3522,AL
normal risk,false,231-98-3943,AK
normal risk,false,232-04-4803,AL
normal risk,false,232-18-2189,AR
normal risk,false,232-30-8033,AR
normal risk,true,232-42-8160,AK
normal risk,false,232-59-8055,AR
normal risk,false,232-81-6844,AL
normal risk,false,232-85-2442,AL
normal risk,false,232-87-3968,AR
high risk,true,232-90-2136,AL
normal risk,false,232-93-1448,AR
normal risk,false,233-24-5134,AR
normal risk,false,233-45-7215,AL
normal risk,false,233-51-1421,AK
normal risk,true,233-99-5896,AL
normal risk,true,234-02-6532,AR
high risk,false,234-13-1900,AL
normal risk,false,234-21-2958,AK
high risk,true,234-22-3254,AL
normal risk,true,234-57-7032,AL
normal risk,false,234-74-1584,AK
normal risk,false,234-77-2442,AR
normal risk,false,235-04-8151,AL
normal risk,false,235-04-9773,AL
normal risk,false,235-13-5886,AR
normal risk,false,235-34-1942,AL
high risk,true,235-48-8008,AK
normal risk,true,235-51-0516,AR
normal risk,false,235-66-7720,AL
normal risk,true,235-72-6983,AR
normal risk,false,235-92-8827,AL
normal risk,false,235-96-4446,AR
normal risk,false,236-15-9168,AR
high risk,true,236-31-1282,AR
normal risk,false,236-51-0193,AK
normal risk,false,236-68-6598,AR
high risk,false,236-89-0862,AL
normal risk,false,236-99-2859,AL
normal risk,true,236-99-9675,AR
normal risk,false,237-10-0774,AR
normal risk,true,237-31-4274,AR
normal risk,false,237-46-3202,AL
normal risk,true,237-80-8024,AL
normal risk,false,237-85-0062,AR
normal risk,false,238-09-3255,AL
normal risk,false,238-25-4729,AK
normal risk,false,238-26-8172,AR
normal risk,false,238-27-3637,AR
normal risk,true,238-56-3389,AL
normal risk,true,238-71-8202,AK
high risk,true,238-74-8903,AR
normal risk,false,238-82-9592,AR
normal risk,false,238-88-4762,AR
normal risk,false,238-88-7611,AR
normal risk,true,238-99-8319,AR
normal risk,false,239-13-3532,AR
normal risk,false,239-72-1380,AR
normal risk,false,239-94-4717,AR
normal risk,false,240-02-9302,AK
normal risk,true,240-08-2462,AL
normal risk,true,240-17-0726,AK
high risk,true,240-43-6354,AR
normal risk,false,240-62-0752,AL
normal risk,false,240-67-8441,AR
normal risk,false,240-68-6759,AL
high risk,true,240-83-3212,AR
normal risk,false,240-91-8383,AR
normal risk,true,240-96-1181,AL
normal risk,true,241-02-3525,AL
normal risk,false,241-07-7816,AK
normal risk,false,241-13-0105,AR
normal risk,true,241-18-3298,AK
normal risk,true,241-76-6204,AR
normal risk,false,241-92-0796,AR
high risk,false,241-96-9331,AK
normal risk,false,241-99-1032,AK
normal risk,false,242-59-0432,AL
normal risk,false,242-66-2193,AK
normal risk,false,242-69-9415,AL
normal risk,false,242-76-3830,AL
normal risk,false,242-80-3579,AR
normal risk,false,242-87-1078,AR
high risk,false,242-87-4406,AR
normal risk,false,243-03-5583,AL
high risk,true,243-17-3661,AK
normal risk,false,243-18-5475,AK
normal risk,false,243-23-4876,AK
normal risk,false,243-25-5879,AK
high risk,true,243-28-7085,AK
normal risk,false,243-34-8467,AL
high risk,false,243-35-3950,AR
normal risk,false,243-49-5203,AL
normal risk,false,243-67-9930,AR
normal risk,false,243-95-2707,AR
normal risk,false,244-01-1899,AK
high risk,true,244-16-7800,AK
normal risk,false,244-22-2822,AL
normal risk,true,244-23-9432,AL
normal risk,false,244-27-3449,AR
normal risk,false,244-36-4443,AR
normal risk,false,244-39-7647,AL
normal risk,false,244-40-4532,AL
normal risk,false,244-49-7013,AL
high risk,true,244-55-4971,AR
normal risk,true,244-62-5398,AK
normal risk,true,244-72-7217,AR
normal risk,false,244-74-9330,AK
normal risk,false,245-01-6899,AL
normal risk,false,246-10-0780,AR
normal risk,true,246-47-4178,AR
normal risk,true,246-67-1144,AK
high risk,false,246-82-3477,AL
normal risk,false,246-84-8263,AR
normal risk,false,247-06-0655,AR
normal risk,false,247-48-7327,AR
normal risk,true,247-59-9956,AR
normal risk,false,247-91-1205,AR
high risk,true,247-93-7995,AL
normal risk,false,248-10-7827,AK
normal risk,true,248-29-7325,AL
normal risk,false,248-32-7197,AR
normal risk,false,248-35-9895,AR
normal risk,true,248-39-1410,AK
high risk,true,248-51-6301,AR
normal risk,true,248-53-4272,AR
normal risk,true,248-91-8406,AL
normal risk,false,248-95-5762,AR
normal risk,false,249-29-4269,AL
normal risk,false,249-46-8731,AL
normal risk,false,249-47-4465,AK
normal risk,false,249-85-5126,AR
normal risk,false,249-99-6134,AR
normal risk,false,250-10-0610,AL
normal risk,false,250-40-9179,AR
normal risk,false,250-43-7531,AL
normal risk,false,250-49-4577,AK
normal risk,true,250-60-4165,AL
normal risk,false,250-78-9676,AR
normal risk,false,250-79-4404,AL
normal risk,false,250-93-0039,AR
normal risk,false,251-10-5467,AK
normal risk,false,251-33-6184,AL
normal risk,false,251-40-3922,AL
high risk,false,251-45-6660,AK
normal risk,true,251-47-5342,AR
high risk,true,251-84-3332,AL
normal risk,true,252-14-4010,AL
high risk,true,252-28-9737,AR
normal risk,false,252-30-5781,AR
normal risk,false,252-34-3868,AL
high risk,true,252-44-0704,AR
high risk,true,252-62-8920,AR
high risk,false,252-85-5473,AK
normal risk,false,252-87-6203,AL
high risk,true,253-11-2709,AR
normal risk,true,253-20-1918,AK
normal risk,true,253-25-6562,AR
normal risk,false,253-42-5789,AL
normal risk,true,253-54-7948,AL
normal risk,false,253-76-6441,AK
high risk,true,253-82-3990,AR
normal risk,false,254-01-0197,AR
normal risk,false,254-05-2880,AR
normal risk,false,254-10-7025,AK
normal risk,true,254-27-3265,AR
normal risk,false,254-72-4596,AL
normal risk,false,254-75-6673,AR
high risk,true,255-12-3683,AR
normal risk,false,255-36-6485,AK
normal risk,false,255-49-5902,AR
normal risk,false,255-58-0969,AK
normal risk,false,255-60-0907,AL
high risk,true,255-69-5679,AK
normal risk,false,255-80-9907,AR
normal risk,true,255-87-4623,AR
normal risk,false,255-92-1174,AR
normal risk,false,255-97-4021,AL
normal risk,false,256-70-3332,AL
normal risk,true,256-84-1992,AL
normal risk,false,256-86-6301,AR
normal risk,false,257-38-9443,AL
normal risk,true,257-39-1526,AR
normal risk,false,257-46-1394,AL
normal risk,false,257-83-3651,AK
normal risk,false,257-90-0007,AK
normal risk,false,257-94-2300,AR
normal risk,false,257-99-8932,AL
high risk,false,258-07-2727,AR
high risk,true,258-08-4110,AR
high risk,false,258-11-7547,AL
normal risk,false,258-26-9168,AL
normal risk,false,258-35-8953,AK
normal risk,false,258-35-9555,AL
normal risk,false,258-44-0305,AL
normal risk,true,258-62-9363,AR
normal risk,false,258-72-6377,AR
normal risk,false,259-07-1555,AR
normal risk,false,259-29-8459,AL
normal risk,false,259-30-5688,AK
normal risk,false,259-30-9802,AK
normal risk,false,259-37-9532,AK
normal risk,false,259-39-1947,AK
normal risk,false,259-42-8253,AK
normal risk,false,259-49-6855,AK
normal risk,false,259-53-0128,AR
normal risk,false,259-62-4963,AL
normal risk,true,259-63-6506,AL
normal risk,true,259-67-8082,AK
high risk,true,259-68-9032,AK
normal risk,true,259-77-0902,AR
normal risk,false,259-83-1414,AL
high risk,true,260-05-1479,AR
normal risk,false,260-12-9910,AL
normal risk,false,260-18-6765,AK
high risk,true,260-22-5082,AK
normal risk,false,260-53-0206,AR
normal risk,false,260-55-7611,AK
high risk,true,260-66-6946,AR
normal risk,true,260-71-0673,AL
high risk,true,260-80-3173,AK
normal risk,false,260-86-4795,AL
normal risk,false,260-92-0919,AR
normal risk,false,261-14-2663,AK
normal risk,false,261-20-9369,AL
normal risk,false,261-21-6685,AR
normal risk,true,261-24-0492,AR
high risk,false,261-24-1521,AK
normal risk,false,261-33-7198,AR
normal risk,true,261-46-5716,AK
high risk,true,261-52-9672,AK
normal risk,false,261-53-0387,AK
normal risk,false,261-60-9562,AL
normal risk,false,261-83-1048,AR
normal risk,false,261-86-7316,AL
normal risk,false,262-15-2372,AR
normal risk,false,262-16-7398,AR
high risk,false,262-32-6847,AR
normal risk,false,262-49-2839,AL
high risk,true,262-55-0132,AK
normal risk,false,262-71-1893,AK
normal risk,false,262-78-0054,AR
high risk,false,262-78-5244,AR
high risk,false,262-99-4277,AR
high risk,true,263-29-7633,AR
normal risk,false,263-61-2133,AK
normal risk,false,263-72-0666,AL
normal risk,false,263-96-8649,AR
normal risk,false,263-98-0578,AR
normal risk,false,264-03-4987,AK
normal risk,false,264-04-6772,AL
normal risk,false,264-12-4567,AR
high risk,false,264-30-6769,AR
normal risk,true,264-31-6927,AK
normal risk,true,264-41-8543,AR
normal risk,false,264-46-5780,AR
normal risk,false,264-49-3366,AR
normal risk,false,265-03-5089,AK
high risk,false,265-12-4141,AL
normal risk,false,265-32-7137,AK
normal risk,false,265-49-1092,AR
normal risk,false,265-68-1268,AR
normal risk,false,265-73-0841,AK
high risk,true,265-79-1106,AK
high risk,true,265-94-0724,AR
normal risk,false,265-97-8036,AK
high risk,true,266-24-4375,AR
normal risk,false,266-41-2203,AK
normal risk,false,266-42-9176,AK
normal risk,false,266-74-0159,AR
normal risk,true,266-80-0386,AK
high risk,true,266-98-1611,AR
normal risk,false,267-02-3642,AK
normal risk,false,267-19-3538,AR
high risk,true,267-25-5971,AK
normal risk,false,267-27-4199,AL
normal risk,false,267-28-6501,AR
normal risk,false,267-38-0829,AL
normal risk,false,267-49-9401,AR
normal risk,false,267-51-9909,AK
high risk,true,267-63-7182,AL
normal risk,false,267-66-6065,AK
normal risk,false,267-73-3255,AL
normal risk,false,267-82-9121,AK
normal risk,false,268-02-8469,AL
normal risk,false,268-21-5691,AR
normal risk,false,268-39-1801,AK
normal risk,false,268-45-7929,AK
normal risk,false,268-52-1210,AL
normal risk,false,268-66-2920,AK
normal risk,true,268-67-4469,AL
normal risk,false,268-73-7199,AL
normal risk,true,269-01-8338,AL
normal risk,false,269-07-5857,AL
normal risk,false,269-19-4747,AL
normal risk,false,269-27-5194,AK
normal risk,true,269-59-1765,AK
normal risk,false,269-61-1745,AR
normal risk,false,269-65-6275,AR
normal risk,true,269-69-1881,AK
normal risk,false,269-71-8126,AR
normal risk,false,269-76-4877,AK
high risk,true,269-78-6015,AL
normal risk,true,269-86-4084,AR
normal risk,false,270-06-6440,AK
normal risk,false,270-07-6353,AR
normal risk,false,270-36-5413,AR
normal risk,false,270-51-5103,AR
normal risk,false,270-67-2313,AL
normal risk,false,271-16-8936,AR
normal risk,false,271-23-5028,AR
high risk,true,271-28-8255,AK
normal risk,false,271-31-8631,AR
normal risk,true,271-39-7172,AR
normal risk,false,271-55-6074,AK
normal risk,false,271-81-4898,AL
normal risk,false,272-06-5674,AK
normal risk,false,272-07-6318,AK
normal risk,true,272-08-3615,AR
normal risk,true,272-15-0317,AL
normal risk,true,272-42-4751,AR
normal risk,false,272-77-5913,AK
normal risk,false,273-03-8066,AR
normal risk,false,273-06-9233,AK
normal risk,false,273-07-1508,AR
normal risk,false,273-18-0628,AL
high risk,true,273-25-2137,AK
normal risk,false,273-35-4961,AR
normal risk,false,273-42-5261,AK
normal risk,false,273-45-3310,AL
normal risk,false,273-66-7801,AK
high risk,true,273-99-3963,AL
high risk,true,274-06-6752,AL
normal risk,false,274-10-5979,AK
high risk,true,274-13-8487,AL
normal risk,false,274-21-4616,AK
normal risk,false,274-37-3524,AR
normal risk,false,274-42-9094,AK
normal risk,false,274-43-8398,AL
high risk,false,274-49-1509,AL
normal risk,true,274-55-4280,AR
normal risk,false,274-64-7426,AK
normal risk,true,274-64-7447,AL
normal risk,false,274-70-4896,AK
high risk,true,274-72-4400,AL
normal risk,false,274-79-7224,AR
normal risk,false,274-97-3867,AL
normal risk,false,275-06-9872,AL
high risk,true,275-18-2177,AK
normal risk,false,275-50-0543,AR
normal risk,false,275-54-7050,AK
normal risk,false,275-58-0158,AR
high risk,true,275-60-4780,AL
normal risk,false,275-71-5157,AR
normal risk,false,275-78-5518,AR
normal risk,false,275-99-2379,AL
normal risk,false,276-04-8071,AL
normal risk,false,276-09-7297,AR
normal risk,false,276-18-9623,AR
normal risk,false,276-45-9896,AK
high risk,true,276-47-2024,AL
high risk,true,276-52-7961,AK
high risk,false,276-60-9181,AR
normal risk,true,276-76-3657,AR
normal risk,false,276-79-5987,AK
normal risk,false,276-80-7846,AK
normal risk,false,277-14-9492,AR
high risk,true,277-34-4161,AL
normal risk,true,277-35-3941,AR
normal risk,false,277-48-7576,AR
normal risk,false,277-80-4360,AR
normal risk,false,277-87-9167,AR
normal risk,false,277-90-1669,AL
normal risk,false,277-93-2002,AL
normal risk,false,278-01-8656,AL
normal risk,false,278-14-9884,AL
normal risk,false,278-20-2421,AR
normal risk,false,278-32-7687,AR
normal risk,false,278-35-4790,AR
normal risk,false,278-37-6092,AR
normal risk,false,278-85-3127,AK
normal risk,true,278-89-6977,AR
normal risk,false,278-99-4162,AR
normal risk,true,279-04-9754,AK
normal risk,false,279-09-4788,AR
normal risk,false,279-22-5243,AR
normal risk,false,279-25-1713,AK
normal risk,false,279-33-9917,AL
normal risk,false,279-46-9136,AK
normal risk,false,279-49-0227,AK
normal risk,false,279-55-8687,AL
normal risk,false,279-70-3574,AR
high risk,true,279-80-3709,AR
normal risk,true,279-97-3335,AL
normal risk,false,280-13-5128,AR
normal risk,false,280-22-7206,AR
normal risk,false,280-23-6457,AR
normal risk,true,280-58-9098,AL
normal risk,false,280-65-1250,AR
high risk,true,281-29-0091,AK
normal risk,false,281-32-0757,AK
normal risk,false,281-49-7598,AR
normal risk,true,281-50-0879,AL
high risk,true,281-56-2047,AK
normal risk,false,281-61-8512,AK
normal risk,true,281-63-5991,AR
normal risk,false,281-69-1473,AK
normal risk,false,281-91-1741,AR
normal risk,false,282-33-4914,AK
normal risk,false,282-37-3833,AL
normal risk,false,282-51-9018,AK
normal risk,false,282-55-9194,AK
normal risk,true,282-57-8425,AR
normal risk,false,282-61-2150,AR
normal risk,false,282-65-2466,AK
normal risk,false,282-79-2232,AL
high risk,false,282-89-9544,AL
normal risk,false,283-01-8928,AR
normal risk,false,283-08-7304,AR
normal risk,true,283-13-7588,AR
high risk,true,283-17-8394,AK
normal risk,false,283-40-1739,AR
normal risk,false,283-50-0368,AK
normal risk,false,283-60-4592,AL
normal risk,true,283-61-8468,AK
normal risk,false,283-61-8497,AR
normal risk,true,283-63-4335,AL
normal risk,false,283-70-0395,AL
normal risk,false,284-07-4778,AL
high risk,false,284-42-2156,AR
normal risk,false,284-56-4086,AR
normal risk,false,284-90-4135,AR
normal risk,false,285-10-0473,AL
normal risk,false,285-18-2556,AL
normal risk,false,285-27-4051,AK
normal risk,false,285-64-4581,AR
normal risk,false,286-05-6865,AR
normal risk,true,286-06-2847,AL
normal risk,false,286-14-5665,AR
normal risk,false,286-24-9247,AR
normal risk,false,286-27-3529,AK
high risk,true,286-40-2537,AR
normal risk,false,286-42-0085,AK
normal risk,false,286-44-7382,AR
normal risk,false,286-50-0244,AK
high risk,false,286-63-8301,AL
normal risk,false,286-68-0148,AR
normal risk,false,286-96-0239,AK
normal risk,true,286-96-4139,AL
normal risk,true,287-02-2754,AK
normal risk,false,287-16-0575,AR
high risk,true,287-20-5789,AL
normal risk,false,287-31-8790,AK
normal risk,false,287-49-9072,AL
high risk,true,287-58-3569,AR
normal risk,true,287-58-4783,AK
high risk,true,287-66-8845,AL
normal risk,false,287-68-1529,AR
normal risk,true,287-93-6929,AK
normal risk,false,288-04-2301,AR
normal risk,false,288-04-4524,AL
normal risk,false,288-11-7314,AL
normal risk,false,288-23-5287,AL
normal risk,false,288-48-3183,AL
normal risk,false,288-62-5146,AL
normal risk,true,288-63-4466,AK
normal risk,true,288-66-7617,AL
high risk,true,288-69-5348,AL
normal risk,false,289-09-8117,AK
normal risk,false,289-12-6819,AR
normal risk,false,289-37-4922,AL
normal risk,false,289-53-9826,AR
normal risk,false,289-64-4040,AR
normal risk,true,289-74-2510,AR
normal risk,false,289-79-4688,AK
normal risk,false,289-83-3005,AR
normal risk,false,289-92-7988,AL
normal risk,false,290-06-2653,AK
normal risk,false,290-13-8506,AK
normal risk,false,290-16-2454,AK
normal risk,false,290-26-4274,AK
normal risk,true,290-33-6591,AK
normal risk,false,290-45-1703,AK
normal risk,false,290-63-9482,AL
normal risk,false,290-88-3008,AR
normal risk,true,290-88-9878,AL
high risk,true,291-05-8408,AR
normal risk,false,291-18-3561,AR
normal risk,false,291-22-8385,AR
normal risk,true,291-26-5697,AR
normal risk,false,291-52-4957,AL
normal risk,false,291-67-9138,AL
normal risk,false,291-72-0212,AK
normal risk,false,291-76-3105,AR
normal risk,false,291-77-7421,AL
normal risk,false,291-77-9787,AL
high risk,true,292-07-3723,AR
normal risk,false,292-18-9291,AL
normal risk,false,292-34-3435,AL
normal risk,false,292-39-7621,AK
normal risk,true,292-41-8906,AL
normal risk,false,292-47-5460,AR
normal risk,false,292-52-6739,AR
normal risk,false,292-53-1908,AK
normal risk,true,292-62-8354,AL
normal risk,false,292-86-9357,AL
normal risk,false,292-89-0538,AR
normal risk,true,293-17-9688,AL
high risk,true,293-61-5071,AK
normal risk,true,293-68-0071,AK
high risk,false,293-79-3112,AR
normal risk,false,293-83-1502,AL
normal risk,true,293-84-4446,AR
normal risk,false,294-02-3978,AR
normal risk,false,294-32-3258,AR
normal risk,false,294-56-4510,AL
normal risk,false,294-57-4326,AL
high risk,true,294-67-9623,AR
high risk,true,294-72-4060,AL
normal risk,true,294-77-7614,AK
normal risk,false,294-79-0818,AL
high risk,true,294-88-9871,AR
high risk,true,295-26-7004,AR
normal risk,true,295-33-7759,AR
normal risk,true,295-52-1535,AR
normal risk,true,295-57-6120,AK
high risk,false,295-64-7124,AK
normal risk,false,295-83-7374,AK
normal risk,true,295-86-8993,AL
normal risk,true,296-01-5409,AR
normal risk,false,296-04-4307,AL
normal risk,false,296-08-8918,AR
normal risk,false,296-29-0565,AL
normal risk,false,296-37-3902,AL
normal risk,false,296-55-8595,AR
normal risk,true,296-79-8268,AK
normal risk,false,296-89-2563,AL
normal risk,false,297-51-5573,AR
high risk,false,297-60-5715,AK
normal risk,false,297-87-2110,AK
high risk,true,298-41-2436,AR
normal risk,false,298-56-9339,AK
normal risk,false,298-67-9577,AL
normal risk,false,298-72-8350,AR
normal risk,false,299-19-3128,AR
normal risk,false,299-30-3489,AR
normal risk,false,299-82-1747,AL
normal risk,false,299-92-8136,AL
normal risk,false,299-99-4569,AK
normal risk,false,300-03-9202,AL
high risk,false,300-31-0560,AK
normal risk,false,300-47-9833,AR
normal risk,false,300-70-9045,AR
normal risk,false,300-80-0299,AK
high risk,false,300-91-4507,AR
normal risk,false,300-98-9528,AR
high risk,true,301-04-5504,AL
normal risk,false,301-08-5634,AK
normal risk,false,301-10-9638,AR
high risk,true,301-16-3927,AR
normal risk,false,301-37-9303,AR
normal risk,false,301-42-1286,AR
normal risk,false,301-46-7204,AK
normal risk,false,301-51-3870,AR
normal risk,false,301-82-6975,AL
normal risk,false,302-03-2518,AK
normal risk,false,302-47-9718,AR
normal risk,true,302-53-3018,AL
normal risk,false,302-59-2395,AK
normal risk,true,302-71-6858,AL
high risk,true,302-85-8556,AK
normal risk,false,303-09-9033,AR
normal risk,false,303-11-1786,AR
normal risk,false,303-17-3652,AR
high risk,true,303-45-6064,AK
high risk,false,303-46-9201,AK
high risk,false,303-48-1233,AR
normal risk,false,303-58-1401,AR
normal risk,true,303-59-6890,AK
normal risk,true,303-64-1485,AR
normal risk,false,303-67-1222,AK
high risk,true,303-68-2891,AR
normal risk,false,303-68-9379,AK
normal risk,false,303-87-4399,AL
normal risk,true,303-87-7908,AR
normal risk,false,303-88-7819,AL
normal risk,false,303-89-2302,AK
high risk,false,303-97-6195,AR
normal risk,false,303-98-1826,AK
normal risk,false,304-30-7579,AK
normal risk,false,304-74-6567,AL
high risk,true,304-92-2887,AR
normal risk,true,305-05-0679,AL
normal risk,true,305-07-9084,AK
high risk,false,305-11-7043,AR
normal risk,false,305-28-8092,AK
normal risk,false,305-35-0727,AR
high risk,true,305-41-3873,AL
normal risk,false,305-41-4616,AL
normal risk,false,305-61-5980,AR
normal risk,false,305-70-2809,AK
high risk,true,305-92-4949,AL
normal risk,false,306-17-4994,AK
normal risk,false,306-20-7110,AR
normal risk,true,306-23-2013,AK
normal risk,false,306-33-1225,AK
high risk,true,306-56-8480,AL
high risk,true,306-70-3560,AL
normal risk,false,306-72-9396,AK
normal risk,false,306-80-5995,AK
normal risk,false,306-96-2950,AR
normal risk,false,307-11-4248,AR
normal risk,false,307-35-3534,AR
normal risk,false,307-80-4518,AR
normal risk,false,307-88-0048,AK
normal risk,false,308-09-9011,AL
normal risk,false,308-17-8775,AK
normal risk,false,308-18-1218,AL
normal risk,false,308-19-7197,AR
normal risk,false,308-20-7201,AR
normal risk,false,308-22-8507,AR
normal risk,false,308-29-1980,AR
normal risk,false,308-36-7999,AK
normal risk,false,308-39-3175,AR
normal risk,true,308-77-1577,AR
normal risk,false,308-77-6295,AR
normal risk,false,308-77-7795,AR
normal risk,false,308-84-4295,AR
normal risk,false,308-93-2592,AK
normal risk,false,308-97-7845,AL
normal risk,false,309-07-6004,AL
normal risk,false,309-09-5019,AL
normal risk,false,309-20-3059,AL
normal risk,false,309-40-3555,AK
normal risk,false,309-47-6864,AL
normal risk,false,309-51-5581,AL
high risk,true,309-55-9789,AR
high risk,false,309-68-2177,AR
normal risk,false,309-89-7305,AL
normal risk,true,310-04-3646,AK
high risk,true,310-22-0159,AL
high risk,true,310-28-2324,AK
high risk,true,310-33-4756,AL
normal risk,false,310-41-1978,AR
normal risk,true,310-49-0919,AR
normal risk,true,310-63-7910,AL
normal risk,false,310-65-5548,AL
high risk,true,310-68-1597,AR
high risk,true,311-01-1722,AR
normal risk,true,311-51-3561,AR
normal risk,false,311-52-5537,AR
normal risk,true,311-53-6615,AL
normal risk,false,311-63-1398,AK
normal risk,false,311-64-7713,AR
normal risk,false,311-82-2060,AR
normal risk,false,311-83-7725,AK
normal risk,false,312-08-6103,AR
high risk,false,312-53-0719,AR
normal risk,true,312-59-3378,AR
normal risk,false,312-59-5560,AK
normal risk,false,312-66-5180,AL
normal risk,false,313-03-4382,AR
normal risk,false,313-20-4706,AL
normal risk,true,313-24-6455,AL
normal risk,false,313-29-5342,AR
normal risk,false,313-37-1639,AK
normal risk,false,313-37-6641,AK
normal risk,false,313-90-3474,AL
high risk,false,313-93-9768,AR
normal risk,false,313-95-9614,AL
normal risk,false,313-98-6100,AR
normal risk,false,314-36-8365,AK
normal risk,false,314-65-1718,AR
normal risk,false,314-78-6674,AK
normal risk,false,314-83-9529,AR
normal risk,false,315-06-4190,AL
high risk,true,315-29-0781,AK
high risk,true,315-46-2832,AL
normal risk,true,315-66-0806,AL
normal risk,false,315-93-1333,AR
normal risk,false,316-08-8886,AL
normal risk,true,316-19-2319,AK
high risk,false,316-20-4214,AL
normal risk,false,316-44-2955,AK
normal risk,true,316-52-1133,AR
normal risk,false,316-53-7813,AR
normal risk,false,316-59-5521,AL
normal risk,false,316-60-2775,AR
normal risk,false,316-63-2461,AL
normal risk,false,316-65-9927,AL
normal risk,true,316-66-7186,AR
high risk,false,317-07-7157,AK
normal risk,false,317-47-9257,AK
normal risk,true,317-48-2347,AR
normal risk,false,317-86-9206,AK
normal risk,false,317-91-7904,AL
normal risk,true,317-93-5136,AR
normal risk,false,318-34-8746,AR
normal risk,false,318-40-8963,AL
normal risk,false,318-49-9501,AR
normal risk,false,318-58-0126,AR
normal risk,false,318-73-0452,AK
normal risk,false,318-79-9053,AL
normal risk,false,318-83-2843,AK
normal risk,false,318-91-1926,AL
normal risk,false,319-03-8792,AL
normal risk,false,319-22-3632,AK
high risk,true,319-22-8515,AL
high risk,false,319-32-4419,AK
high risk,false,319-33-9618,AR
normal risk,false,319-44-9509,AR
normal risk,false,319-48-4124,AR
normal risk,true,319-53-8069,AR
normal risk,true,319-64-2360,AR
normal risk,false,319-77-0404,AL
high risk,true,319-81-9051,AL
normal risk,true,319-92-5852,AR
normal risk,true,320-04-2801,AL
normal risk,true,320-08-3150,AR
normal risk,false,320-09-8281,AK
high risk,true,320-20-8904,AK
normal risk,false,320-25-4964,AR
high risk,true,320-29-8871,AL
normal risk,true,320-40-9093,AK
high risk,false,320-43-0819,AR
normal risk,false,320-54-3404,AR
normal risk,false,321-03-4849,AL
normal risk,true,321-10-8857,AL
normal risk,true,321-18-3530,AR
normal risk,true,321-27-0701,AK
normal risk,false,321-27-0977,AK
normal risk,false,321-31-1247,AR
normal risk,false,321-61-0858,AR
normal risk,false,321-70-7499,AR
normal risk,false,321-81-1695,AK
normal risk,true,321-90-1928,AR
normal risk,true,321-96-5579,AR
normal risk,false,322-18-9399,AR
normal risk,false,322-25-3933,AL
normal risk,false,322-41-5859,AR
normal risk,false,322-44-0373,AK
high risk,true,322-90-1102,AR
normal risk,false,323-19-6595,AR
normal risk,false,323-21-4901,AL
normal risk,false,323-37-2619,AL
high risk,true,323-42-1429,AR
normal risk,false,323-47-5586,AL
normal risk,false,323-48-5852,AK
normal risk,false,323-53-1629,AK
normal risk,false,323-53-9374,AK
normal risk,false,323-73-2309,AK
normal risk,false,324-01-6534,AR
normal risk,false,324-09-1095,AR
normal risk,true,324-11-7546,AL
normal risk,true,324-36-0669,AR
normal risk,false,324-46-4858,AK
normal risk,false,324-48-8999,AR
normal risk,true,324-61-6837,AL
normal risk,true,324-62-9879,AL
high risk,true,324-82-9642,AK
normal risk,true,324-86-6222,AK
normal risk,false,324-90-2351,AR
normal risk,true,324-96-3289,AR
high risk,true,325-52-3482,AR
normal risk,false,325-89-1757,AK
normal risk,false,326-23-8244,AK
normal risk,false,326-27-6911,AR
normal risk,false,326-31-7192,AR
high risk,true,326-45-0664,AR
normal risk,false,326-61-7569,AL
high risk,false,326-72-8404,AK
normal risk,true,326-73-3043,AR
high risk,true,327-09-4816,AR
high risk,true,327-36-2334,AK
high risk,true,327-38-3075,AR
normal risk,false,327-55-6970,AR
normal risk,false,327-61-3278,AK
normal risk,false,327-81-3410,AK
high risk,true,327-87-7643,AK
normal risk,true,327-91-6191,AR
high risk,false,327-93-4197,AR
normal risk,false,328-10-8338,AL
normal risk,false,328-11-7379,AK
normal risk,true,328-35-9116,AR
normal risk,false,328-66-2211,AR
